id,idx,name,nametype,recclass,mass,fall,year,reclat,reclong,impact
306,10164,Forsyth,Valid,L6,16300,Fell,1829,33.01667,-83.96667,45012
307,10166,Fort Flatters,Valid,Stone-uncl,,Fell,1944,28.25,7,38400
308,10177,Frankfort (stone),Valid,Howardite,650,Fell,1868,34.48333,-87.83333,8366
309,52412,Fuhe,Valid,L5,23000,Fell,1945,31.47556,113.56694,85274
310,10836,Fukutomi,Valid,L5,11620,Fell,1882,33.18333,130.2,53205
311,10838,Fünen,Valid,Stone-uncl,,Fell,1654,55.33333,10.33333,95555
312,10839,Futtehpur,Valid,L6,4000,Fell,1822,25.95,80.81667,58128
313,10840,Fuyang,Valid,Stone-uncl,2500,Fell,1977,32.9,115.9,81851
314,10846,Galapian,Valid,H6,132.7,Fell,1826,44.3,0.4,26888
315,10848,Galim (a),Valid,LL6,36.1,Fell,1952,7.05,12.43333,46045
316,10849,Galim (b),Valid,EH3/4-an,28,Fell,1952,7.05,12.43333,87096
317,10850,Galkiv,Valid,H4,5000,Fell,1995,51.68333,30.78333,69215
318,10851,Gambat,Valid,L6,6400,Fell,1897,27.35,68.53333,14727
319,10854,Gao-Guenie,Valid,H5,,Fell,1960,11.65,-2.18333,44910
320,10860,Garhi Yasin,Valid,"Iron, IIE",380,Fell,1917,27.88333,68.53333,88001
321,10861,Garland,Valid,Diogenite-pm,102,Fell,1950,41.68333,-112.13333,72864
322,44882,Gashua,Valid,L6,4162,Fell,1984,12.85,11.03333,12056
323,10866,Gasseltepaoua,Valid,H5,,Fell,2000,14.15083,-2.04167,65694
324,10870,Geidam,Valid,H5,725,Fell,1950,12.91667,11.91667,34287
325,10914,Gifu,Valid,L6,14290,Fell,1909,35.53333,136.88333,71108
326,10917,Girgenti,Valid,L6,18000,Fell,1853,37.31667,13.56667,53245
327,10919,Git-Git,Valid,L6,480,Fell,1947,9.6,9.91667,7166
328,10923,Glanerbrug,Valid,L/LL5,670,Fell,1990,52.2,6.86667,90210
329,10924,Glanggang,Valid,H5-6,1303,Fell,1939,-7.25,107.7,87236
